"","pair_id","time_utc","insert_time","travel_time","time","time_adjusted","id","speed","datetime","traveltime"
"39",10356,2013-09-15 09:35:00,"2013-09-15 13:35:00","339",2013-09-15 13:35:00,2013-09-15 13:35:00,2703,55.4,2014-09-14 09:35:00,338
"40",10356,2013-09-15 09:50:00,"2013-09-15 13:50:00","357",2013-09-15 13:50:00,2013-09-15 13:50:00,2713,57.1,2014-09-14 09:50:00,328
"41",10356,2013-09-15 10:05:00,"2013-09-15 14:05:00","350",2013-09-15 14:05:00,2013-09-15 14:05:00,2723,57.1,2014-09-14 10:05:00,328
"42",10356,2013-09-15 10:20:00,"2013-09-15 14:20:00","362",2013-09-15 14:20:00,2013-09-15 14:20:00,2733,47.5,2014-09-14 10:20:00,394
"43",10356,2013-09-15 10:35:00,"2013-09-15 14:35:00","350",2013-09-15 14:35:00,2013-09-15 14:35:00,2743,54.1,2014-09-14 10:35:00,346
"44",10356,2013-09-15 10:50:00,"2013-09-15 14:50:00","344",2013-09-15 14:50:00,2013-09-15 14:50:00,2753,57.8,2014-09-14 10:50:00,324
"45",10356,2013-09-15 11:05:00,"2013-09-15 15:05:00","328",2013-09-15 15:05:00,2013-09-15 15:05:00,2763,56,2014-09-14 11:05:00,334
"46",10356,2013-09-15 11:20:00,"2013-09-15 15:20:00","322",2013-09-15 15:20:00,2013-09-15 15:20:00,2773,56.7,2014-09-14 11:20:00,330
"47",10356,2013-09-15 11:35:00,"2013-09-15 15:35:00","328",2013-09-15 15:35:00,2013-09-15 15:35:00,2783,55.5,2014-09-14 11:35:00,337
"48",10356,2013-09-15 11:50:00,"2013-09-15 15:50:00","326",2013-09-15 15:50:00,2013-09-15 15:50:00,2793,55.2,2014-09-14 11:50:00,339
"49",10356,2013-09-15 12:05:00,"2013-09-15 16:05:00","354",2013-09-15 16:05:00,2013-09-15 16:05:00,2803,53.6,2014-09-14 12:05:00,349
"50",10356,2013-09-15 12:20:00,"2013-09-15 16:20:00","342",2013-09-15 16:20:00,2013-09-15 16:20:00,2813,50.2,2014-09-14 12:20:00,373
"51",10356,2013-09-15 12:35:00,"2013-09-15 16:35:00","316",2013-09-15 16:35:00,2013-09-15 16:35:00,2823,50.2,2014-09-14 12:35:00,373
"52",10356,2013-09-15 12:50:00,"2013-09-15 16:50:00","325",2013-09-15 16:50:00,2013-09-15 16:50:00,2833,53.6,2014-09-14 12:50:00,349
"53",10356,2013-09-15 13:05:00,"2013-09-15 17:05:00","350",2013-09-15 17:05:00,2013-09-15 17:05:00,2843,55.2,2014-09-14 13:05:00,339
