"","pair_id","insert_time","travel_time","time"
"10088637",10356,"2013-09-15 11:10:00","337",2013-09-15 11:10:00
"10088638",10356,"2013-09-15 11:15:00","329",2013-09-15 11:15:00
"10088639",10356,"2013-09-15 11:20:00","329",2013-09-15 11:20:00
"10088640",10356,"2013-09-15 11:25:00","329",2013-09-15 11:25:00
"10088641",10356,"2013-09-15 11:30:00","329",2013-09-15 11:30:00
"10088642",10356,"2013-09-15 11:35:00","329",2013-09-15 11:35:00
"10088643",10356,"2013-09-15 11:40:00","329",2013-09-15 11:40:00
"10088644",10356,"2013-09-15 11:45:00","329",2013-09-15 11:45:00
"10088645",10356,"2013-09-15 11:50:00","329",2013-09-15 11:50:00
"10088646",10356,"2013-09-15 11:55:00","341",2013-09-15 11:55:00
"10088647",10356,"2013-09-15 12:00:00","337",2013-09-15 12:00:00
"10088648",10356,"2013-09-15 12:05:00","337",2013-09-15 12:05:00
"10088649",10356,"2013-09-15 12:10:00","337",2013-09-15 12:10:00
"10088650",10356,"2013-09-15 12:15:00","337",2013-09-15 12:15:00
"10088651",10356,"2013-09-15 12:20:00","335",2013-09-15 12:20:00
"10088652",10356,"2013-09-15 12:25:00","351",2013-09-15 12:25:00
"10088653",10356,"2013-09-15 12:30:00","351",2013-09-15 12:30:00
"10088654",10356,"2013-09-15 12:35:00","319",2013-09-15 12:35:00
"10088655",10356,"2013-09-15 12:40:00","319",2013-09-15 12:40:00
"10088656",10356,"2013-09-15 12:45:00","317",2013-09-15 12:45:00
"10088657",10356,"2013-09-15 12:50:00","317",2013-09-15 12:50:00
"10088658",10356,"2013-09-15 12:55:00","319",2013-09-15 12:55:00
"10088659",10356,"2013-09-15 13:00:00","337",2013-09-15 13:00:00
"10088660",10356,"2013-09-15 13:05:00","351",2013-09-15 13:05:00
"10088661",10356,"2013-09-15 13:10:00","373",2013-09-15 13:10:00
"10088662",10356,"2013-09-15 13:15:00","358",2013-09-15 13:15:00
"10088663",10356,"2013-09-15 13:20:00","358",2013-09-15 13:20:00
"10088664",10356,"2013-09-15 13:25:00","358",2013-09-15 13:25:00
"10088665",10356,"2013-09-15 13:30:00","365",2013-09-15 13:30:00
"10088666",10356,"2013-09-15 13:35:00","339",2013-09-15 13:35:00
"10088667",10356,"2013-09-15 13:40:00","357",2013-09-15 13:40:00
"10088668",10356,"2013-09-15 13:45:00","357",2013-09-15 13:45:00
"10088669",10356,"2013-09-15 13:50:00","357",2013-09-15 13:50:00
"10088670",10356,"2013-09-15 13:55:00","357",2013-09-15 13:55:00
"10088671",10356,"2013-09-15 14:00:00","350",2013-09-15 14:00:00
"10088672",10356,"2013-09-15 14:05:00","350",2013-09-15 14:05:00
"10088673",10356,"2013-09-15 14:10:00","350",2013-09-15 14:10:00
"10088674",10356,"2013-09-15 14:15:00","350",2013-09-15 14:15:00
